summoner_id,champion_id,mastery_points
quEY5Mx9jy1-uTPm36s1gE9xgsHDY0AnOVs6RYHtiSOVhzc,6,12980
V5TP7x3pPh15ZMhHuakqrIk1Px9T243zqObg1pemCm_UC_JoNJ26F-n4,79,3586
WhFORKhC0YIwbemWsHSOnHQl5pU22sQw-OnYNe9JBjUaMA,105,716095
DUn02if92QNJ9cv9r5O97VFoeL7h5qx-lVwpNrXNIrW5eQ,267,96896
quEY5Mx9jy1-uTPm36s1gE9xgsHDY0AnOVs6RYHtiSOVhzc,126,33305
s1i2FUDv-8JO9YpRk3EJnEpCohtdbYp1T4mEaOftKMGUURs,86,20529
IA41Yn0Od-qXexWKny0NmO6k8_xL3N7RsK470ohmZzGvjU8,236,115207
p4d0kXWhiDWn83m2SKbSDmdygIZbsKWkzN45IxPSHolVKX4,13,141860
ridZOLjlasVgVvYFDsQKlXKjuIsuptHuQWt_vJxolWm0wwg,10,6695
OptXUk57uNU3VZiPKa4gPwu1lOrM2K9dhv7uS2mjy_i6h4E,5,7458
UksnIG0pL7ueyw1gnoWY3ht9NOalbhMW8n20ypDS8HTAbA25UKv_AgH4,28,14894
Jz-RhBxfL1qQi2rTG_yJ39gY1_RMjHLY-dUt9r90gdnX-A,22,43823
jj5ArKKc_Bjjm3GENM04k0iNRqx9dtPgDr2VR0iO_fUGW416fLHt9KAx,112,2428
-1VDilihtt30lugcb2Rf0A6crY1gt-9xGyKYtWQc2e6oXEE,163,4710
9h2bQkSD0MfCW5t8Y2ZEYFvUShxcUvFOnWDJoVY-TeXB2kk,60,91502
pdIyzTKajCjMZ4hg2naa-tuIWPS_DtIZBFXmv7jf1W_-xw,104,76631
QET3vVIQaCOWW58zk5atJABVjnhzmLPjBsRu84gYHDHykLqIKDQiovG_,121,27170
CXLlSpUaBYL7oyu7VAX60j00HF5FtZXW6PrgyO0_36knMa-VO0ddRsCo,84,1769
ahYIwHLtARVja-B6OIa5cFWCwSVWQqqmD_R22TOQy1p22lY,2,82581
JQcuiaxc8dp-diNk8uUXbVnqvgNFR9hem5mqbtHI5m43Nt8,99,41655
SJ200xzo9ZQ84BiDjFfSPT11_oUUXMdOo7VQGCKvAPgCsMI,67,66812
rtvkJN4cY1gbNRt0YPxMS3sjlxhvLam0QuZBdg7kF0iuiw,64,136981
gTuT6Rsa9zCM9dVw7kIouP86cUA9gmaqvOFNbHSw9yDr1Vk,10,26662
PxexG6yQrU8Fmmg2mRa1f_xiYvDstZ04JFINTAtwxnGdcdQ,8,61810
An6Ne8Q6b5RIQeDn710sH7G7t4xPOd78Bt2XQ5oY6eT0jw,84,15685
CQpoq0fB6uFuwmNOZGaSFsyvrqonWBaq0t8S-vZ1SqNZBg,8,10844
35F6K2TMKTE-nDmgsXoEjnqCcc33Ldm0oZm0wHe2oeZcBSA,13,37981
AVKasS7rfSf5KFEleTscaLGfVKJ7G1hLivgoHIILtlGOGBs,78,489952
bexHF6YQJ_LDdJhHfkuZJ1PMYjL3SejSVSsuIJk0OmRUww,74,12811
4wnb-kaKWXHS1_VCgDBeprDPo4aWONvQ5A75rRLTDIQB0q0,18,9257
SRJUue4Wxom-mF_LD5HXeVuh2u6zeNHo2WQZk1nAHaE2ryo,119,480982
Bsfg2IXKjzJDhgmz6VfqknB4iGcjswFtXT7KFGjDpMiCmw,497,106458
mFo0p0TvYQQuUxJChew4bzOE6eZR4E-kTFIoYS7S6VIwkLw,154,7650
XncG88L1lUAWITaleOGsyoS-xyXBTAI-cjlGlwMdkd0Csok,86,20796
U-Nj9CK13R3Fj8NdluUAJsxwH6B8raGYDPzTZs4y5zLMv_g,22,73217
6vAp1BiqLAzAtNtyu5IwEW1ApfJ7KSaW0CnvCo8lGtwhAA,41,87064
avHHHK9OfTJjK1RD9qbsq_RbYXMXyehnO5BhnEAKLGyWO1lji6ihW250,61,8415
mFo0p0TvYQQuUxJChew4bzOE6eZR4E-kTFIoYS7S6VIwkLw,421,2218
I2n2aKP8kdLIBO0treg5idNPp_8ThntT4SUQV9G9VrfYlw,58,3980
JyQBsYM_qOE8h_ZPoQaxqkukOOWKDXQklf2CEUniejg9Qw,64,339225
486nP8vgjj7d4QNV8uu9DE9iLWrJX2-c4cazyiSvAwNgrjQ,81,34952
kNHd9evlRixh_gBqoUO9z-2Sgs4Sr8dBqwsufKeHYSf6lsg,126,18454
jL4BTf06k15UuBsUj-_MVbJ9yNNkCqdGhP3qXfYHLN2WXm8,412,61711
PdcUI2Fpvi6uf2T9DMUclHxaxhRzGq0CsnAiCYVqdPpOfQ,15,215105
MvPwWZ8gcQxEPk03yjsHbSutQJd5IFEVVaqa2Ma1gRXe_g,64,1205045
ZzB0Fm_2ayE1feGHw76feso5HYrjtl6nv4agycJXlLl1YA,54,12922
fCNBW6KJGJbL_ASEfg3nu2LrUefdFqk4ef3puvzZ0LPCLA,412,251677
