top_vs,top_mastery,side,first_brick,first_blood,first_dragon,first_herald,first_baron,first_inhib,num_towers,num_dragons,num_barons,num_inhibs,result,jungle_vs,jungle_mastery,mid_vs,mid_mastery,adc_vs,adc_mastery,sup_vs,sup_mastery
22,162620.0,red  ,True,False,False,False,True,False,2,1,1,0,False,46,391744.0,9,1418478.0,30,4986.0,55,258366.0
22,23509.0,blue ,True,True,True,True,False,False,5,2,0,0,False,27,135201.0,24,655433.0,17,12686.0,52,459752.0
31,54214.0,red  ,True,False,True,False,True,False,3,2,1,0,True,25,32467.0,21,55107.0,20,13639.0,35,18420.0
11,2302743.0,red  ,True,True,True,True,False,True,7,2,0,1,True,21,75163.0,17,161024.0,14,83200.0,29,385091.0
14,2302743.0,red  ,True,False,False,True,False,False,2,2,0,0,False,24,51512.0,11,13901.0,9,25045.0,61,754072.0
54,11295.0,red  ,False,True,False,False,True,True,10,1,1,2,True,42,1451.0,28,32664.0,48,2210263.0,71,322123.0
17,1843552.0,blue ,False,True,True,False,True,True,11,3,1,2,True,30,592776.0,15,228412.0,22,66299.0,41,391377.0
42,1843552.0,red  ,True,False,True,True,False,True,6,3,0,1,False,54,19965.0,36,22756.0,47,41379.0,91,288555.0
29,223726.0,blue ,False,True,False,True,True,True,7,2,1,1,True,32,142923.0,35,133484.0,21,17113.0,79,7921.0
19,223726.0,red  ,False,True,False,True,True,False,1,1,1,0,False,40,15458.0,27,43585.0,14,579261.0,79,4465.0
11,223726.0,red  ,False,False,True,True,False,False,1,1,0,0,False,34,300878.0,25,15858.0,11,74414.0,53,63507.0
19,402659.0,blue ,False,True,False,False,True,True,7,2,1,2,False,21,61711.0,50,18583.0,25,141353.0,64,40021.0
13,60741.0,blue ,False,False,False,True,False,False,2,0,0,0,False,24,148.0,8,191896.0,13,7714.0,38,75286.0
17,35174.0,red  ,False,True,False,False,False,False,3,1,0,0,True,17,95595.0,18,161024.0,17,19488.0,36,11227.0
7,71154.0,blue ,False,False,False,True,False,False,1,0,0,0,False,14,2571.0,7,231836.0,17,16908.0,24,4025508.0
10,99584.0,red  ,False,True,False,False,False,False,3,0,0,0,False,16,2758.0,13,231790.0,24,6030.0,79,9896.0
24,559096.0,red  ,True,True,False,True,False,False,4,1,0,0,False,24,140824.0,22,193440.0,28,101355.0,63,1206809.0
13,1530907.0,blue ,True,False,False,False,False,False,1,0,0,0,False,32,287.0,13,35212.0,7,323461.0,37,25034.0
17,1530907.0,blue ,True,False,True,True,False,True,8,4,0,2,True,31,16655.0,20,520340.0,25,37508.0,90,610732.0
19,8115.0,red  ,False,False,True,False,False,False,2,2,0,0,False,18,16789.0,36,25961.0,37,277166.0,61,17629.0
26,66633.0,red  ,True,True,True,True,False,False,1,2,0,0,False,21,126924.0,25,59133.0,10,47293.0,31,86164.0
11,220358.0,red  ,False,True,True,False,True,True,9,3,1,1,True,15,76995.0,21,99745.0,15,3000.0,59,11954.0
25,27863.0,blue ,True,True,False,True,True,True,11,3,1,3,True,38,2869295.0,22,79241.0,44,18322.0,70,67583.0
21,37709.0,red  ,False,True,False,False,False,False,0,0,0,0,False,11,526809.0,19,12772.0,24,176016.0,47,849222.0
10,190971.0,red  ,False,False,False,False,False,False,1,0,0,0,False,13,448697.0,13,147979.0,20,44948.0,37,12163.0
18,473911.0,blue ,False,False,False,False,False,False,2,0,0,0,False,21,84805.0,25,4219.0,17,15789.0,46,41183.0
