id,side,player0_id,player0_role,player0_champ,player0_vs,player1_id,player1_role,player1_champ,player1_vs,player2_id,player2_role,player2_champ,player2_vs,player3_id,player3_role,player3_champ,player3_vs,player4_id,player4_role,player4_champ,player4_vs,first_brick,first_blood,first_herald,first_dragon,first_baron,first_inhib,num_dragons,num_barons,num_towers,num_inhibs,result
3179923264,blue,7tIs42vJq4FdF6F6w9M-s5DRKcJitAosjSWyN_pPkuLn4a8FNHuZGvMP,Lane.bot_lane Role.duo_support,412,53,hoX1AL0wYB_rIufKbKGMJM8dgR9C_JXV1u6kYFdqII_6_g,Lane.mid_lane Role.solo,157,24,kZ1muBjgGxnRJqiT9ZGtXE8jHJ63j1yo7xjP89Bx7lDlnbM,Lane.bot_lane Role.duo_carry,110,31,leHtJDhZlFugodTERMTE-edPf8gb-FPLHJIt-EkNLBzl-cs,Lane.top_lane Role.solo,122,20,LgTrN_T5Xlpr9nH4AH-BYkgffbujqNyb1dIBQkE2yJNsrg,Lane.jungle Role.none,245,23,True,False,True,True,True,True,2,1,10,2,True
3181463360,blue,PW7CnkZbq6IbgbQUWJsQiCz6JTnQcFtra3JzWLNhhuW0Zg,Lane.mid_lane Role.duo_support,99,65,s5idwOEzpfvrs34q5xoaUHgHshwQ91z96zrMXfwfmdw,Lane.mid_lane Role.duo,51,19,HmuB9G_bV_mveuwZby9DOunv9en-r1AyNyR-lYGk2Xr6Kg,Lane.mid_lane Role.duo,91,20,z0Np5iWlELHmAzR8BNswZlU9BjZ5YgbzNBG0XDeWPtbCJw,Lane.jungle Role.none,427,20,GnHHw28gplZdG8es1BvrFBkFFtx30niANuAeMCGZqr3WbA,Lane.top_lane Role.solo,107,20,True,True,False,False,False,False,1,0,4,0,False
3181299538,red,-npGfK4Uwc85gjSkuezvVUrWnJcRJGvzVFn1LAULaszDnIA,Lane.bot_lane Role.duo_carry,81,21,bjDsYYC1TwcjnaCK3GdLx-3vhuW_VjTJCs8zTwOEeKJcBPk,Lane.mid_lane Role.solo,157,14,Az63kY5J7VXTVDFuScpzp1tGXXIMEaHNxQIvDnxPtx9Whw,Lane.top_lane Role.solo,54,9,OlIgafRO13kn0yscfEvSc7jx0azubT8u9uiECL4siWTbkA,Lane.bot_lane Role.duo_support,79,59,BvIzMNj3YEF81RcFQ4aWRyCerkQHq36Lo1qrB8GxyEczrw,Lane.jungle Role.none,64,27,False,False,False,True,False,False,1,0,3,0,False
3175343959,red,VOM1izvfxY4aJaNlZN35aedYAhyChRNy91idTP7Sb0gS6Q,Lane.bot_lane Role.duo_carry,81,23,od9fJjtoPlqXr3Yn6BKfRFNPvzo9YtpXVN2nBAFXrTYC6-Q,Lane.jungle Role.none,68,31,mmxIn1lFtZB7dKgXqp_7q1oHQfUqZz2pMJk-TfKNZNVIxAI,Lane.mid_lane Role.solo,238,26,iAWj-pY8-snM-1zvirS3_J4c1r_fOMX3T5XmjgjB_1WpZw,Lane.bot_lane Role.duo_support,350,48,BvIzMNj3YEF81RcFQ4aWRyCerkQHq36Lo1qrB8GxyEczrw,Lane.jungle Role.none,64,24,False,True,True,True,True,True,2,1,8,1,True
3179693932,red,EmgPLF_WgnrI3rpFcrLQaGQ-8iSywM0IYQknmfTROWMowA,Lane.bot_lane Role.duo_carry,81,16,jVAG3wQ0TRFB2Lhw_rleZgpR30MhxIiWmJwrExgZY0LRqRE,Lane.jungle Role.none,121,21,ypFW4sg8MVUHhV0W1dgJJ1sCgqRkZ0CHxBDubOZxRHeGuQ,Lane.mid_lane Role.solo,163,25,Tk2IwUrNOrLv-CHdUXoIQ1lzPrfgXr9W-9c6hvE01JkOcI8,Lane.bot_lane Role.duo_support,40,74,hiz2Umbe1lyUQygfi4YzVduoy3sSdDmFk6fgTyA_eB7r3h1wQmL3xTxB,Lane.jungle Role.none,240,21,True,False,False,True,False,False,2,0,3,0,False
3181954929,red,jtmXkaQ1Mg9lZ7tYuwJLyzmq0NJLt9tmUAULd8WeI6rjEHw,Lane.top_lane Role.solo,126,36,lErfZ7xkpr2-bvXdOODIoaPZCcAdnQjIhE4rPcQ2IglUdy4,Lane.mid_lane Role.solo,10,22,bknxSzn8l2HHGPQNROQkfnVSGMUWPQx7lz3YQnDZNrsVRQk1uW01mBq5,Lane.bot_lane Role.duo_carry,51,21,Rf36Kg6V0YY2sfAQGSk5WSMMwGRzy2lYRQ7ygEXD6NA6Tw,Lane.bot_lane Role.duo_support,78,74,8_B7ovJwXAF6bqoPAZ9mx5npR4mhR9fZ-pwr6NybQq2r1A,Lane.jungle Role.none,121,44,True,True,False,True,False,False,3,0,5,0,False
3179865978,red,iI77UZWauY3NM1jfLXOHOfyjtxC098rvjQRIk8PDvAYiqifdfF1EtyTP,Lane.bot_lane Role.duo_carry,29,18,JMXMXRXu3xWQxPoLrI_Mu_Y9-mrTCHIfl7KJMATglMFq9HZKjLugtH7M,Lane.bot_lane Role.duo_support,497,63,yJJ45QwJjxcD2grQNbI9q1dVgPsz0XgXKzKTle5AnTCa5g,Lane.jungle Role.none,64,27,7QMS808pDmj4UKRF8eOKS2iUufYKf71n2enTvu64LiQOgkviBPeg8wRZ,Lane.mid_lane Role.solo,103,20,anCZoUKaJHrR8UveILpx38mSWiLFm2Rllcr77B5w6cnljA,Lane.top_lane Role.solo,85,18,False,True,False,True,False,False,3,0,1,0,False
3181315976,blue,rzp3_NVK5MOPhi0KPfzf-HJd5IEkFewPm5w4Flk5CltIv9c,Lane.top_lane Role.solo,10,27,pGROp02BZrMvAg7iOs5GalbtBS6vz9I3ZTUVAzZzrhIldg,Lane.bot_lane Role.duo_carry,81,29,s5idwOEzpfvrs34q5xoaUHgHshwQ91z96zrMXfwfmdw,Lane.bot_lane Role.duo_support,79,58,ByZnBqQAKWMUkm8LixhCUcbYdUo4iq97O8Kgqj-PaYRmYWQ,Lane.mid_lane Role.solo,112,24,78FGJjHAgDwKRD0m__HED0jBV4oXSQJKtbVbfS06B2Z4SA,Lane.jungle Role.none,163,35,False,True,False,False,False,False,1,1,3,0,False
3180160906,red,LJ7uzhEFGKlSbN0R3sraaRhdPczns65ase99WepsXyl2s10,Lane.top_lane Role.solo,10,12,Ll9zPKP8yu4zmdIm6PEoYangmyrqHBBpwM47yA9o31Ggsw,Lane.bot_lane Role.duo_support,53,35,cVWR27KRdMKXH98SG4Fwf9rGu1zmJyVSwxjjiMgjMWXkSg,Lane.bot_lane Role.duo_carry,145,14,ZIJqRRFsGKMVQ09xoL8qTH84mvmP6eeJ8MRrXb9QbLNaSw,Lane.mid_lane Role.solo,80,20,brBTlCykb5emthuOwhYQA31ikUWN3OkFSRAdPdiHM6dRvO4,Lane.jungle Role.none,245,15,True,False,True,True,False,False,1,0,4,0,True
3181201294,red,0zwx4kmWGQu7GXxxkYI0L6k7BcC0zBr4YZaLBn5mH_tHvxcRTH78VUus,Lane.bot_lane Role.duo_carry,145,15,7VvbwnRn0dJwFWDdpZbhFoJxFhp6gTpyZMK7_2G-VypKZ88,Lane.bot_lane Role.duo_support,555,74,UQVNdwX7FaRxuiMYbncsH68o4mUYThxL1Cgtf6A-wwuTSt4,Lane.top_lane Role.solo,10,28,8km3NTtjNt9ZQxAX78tLkR0ZFx8E3Tebr4EZEq3rkCcpD40,Lane.jungle Role.none,107,15,tg0_HeCLEuIW1Yin_LOVS9R3JZa7M-vU15VmvpkwSMvLOw,Lane.mid_lane Role.solo,103,29,False,False,False,True,False,False,1,0,3,0,False
